user_id;beta0;beta1;beta2;n;beta_list
u:FNL;-3.3689416538054537;0.1474361426917904;0.1747556393732082;356;[-3.3689416538054537, 0.1474361426917904, 0.1747556393732082]
u:FVX;-1.3963774168006007;0.033317384753196636;0.1481403765241671;703;[-1.3963774168006007, 0.033317384753196636, 0.1481403765241671]
u:FYi;2.6246962949976442;-0.3842898863241882;-0.3055891521999893;408;[2.6246962949976442, -0.3842898863241882, -0.3055891521999893]
u:F_w;3.500085689537638;-0.30268755828979926;-0.021529830347482945;295;[3.500085689537638, -0.30268755828979926, -0.021529830347482945]
u:Fb2;0.9710313223590834;-0.10359909873669967;-0.60116096397827;484;[0.9710313223590834, -0.10359909873669967, -0.60116096397827]
u:Fcz;5.116175943533185;-0.5853377023356406;-0.9011167379559115;263;[5.116175943533185, -0.5853377023356406, -0.9011167379559115]
u:Few;0.48892329437158877;-0.13044660180462617;0.10121021233524055;292;[0.48892329437158877, -0.13044660180462617, 0.10121021233524055]
u:FhU;-0.9404667832701913;-0.045385047377034304;0.403787772897844;321;[-0.9404667832701913, -0.045385047377034304, 0.403787772897844]
u:FjG;0.970336963634934;-0.18136434197148715;-0.14654968468180668;345;[0.970336963634934, -0.18136434197148715, -0.14654968468180668]
u:FxZ;-0.20674722163382264;-0.02492347854847203;0.11152733421166175;392;[-0.20674722163382264, -0.02492347854847203, 0.11152733421166175]
u:G0b;1.2180976490953708;-0.22125071045137207;-0.10140598476785007;212;[1.2180976490953708, -0.22125071045137207, -0.10140598476785007]
u:G7V;-2.9099033856240717;-0.24128073147775028;0.258403647908955;210;[-2.9099033856240717, -0.24128073147775028, 0.258403647908955]
u:G9b;-0.953445372946313;-0.05588676140748622;0.01781595765168744;427;[-0.953445372946313, -0.05588676140748622, 0.01781595765168744]
u:GB4;-0.4252341974254692;-0.05914444942565788;0.11853175557503544;367;[-0.4252341974254692, -0.05914444942565788, 0.11853175557503544]
u:GFK;-1.5774980281376816;0.0647169962728787;0.25776826118967455;272;[-1.5774980281376816, 0.0647169962728787, 0.25776826118967455]
u:GLo;-0.02273818093118951;-0.10747233473852237;-0.059772797613373535;383;[-0.02273818093118951, -0.10747233473852237, -0.059772797613373535]
u:GMT;-0.43986991899757527;0.018830927324386994;0.006972253486492575;459;[-0.43986991899757527, 0.018830927324386994, 0.006972253486492575]
u:GWA;-3.487986515546671;0.15138049962625985;0.8534348821751548;319;[-3.487986515546671, 0.15138049962625985, 0.8534348821751548]
u:Gf6;-2.2758172804237153;0.031204531843391572;0.6148398939155885;326;[-2.2758172804237153, 0.031204531843391572, 0.6148398939155885]
u:Gi_;-3.6562991615361877;0.018610937718679162;1.0503423240351062;222;[-3.6562991615361877, 0.018610937718679162, 1.0503423240351062]
u:Gl0;-1.266160563220259;-0.04912172080710333;0.0072029835064127135;449;[-1.266160563220259, -0.04912172080710333, 0.0072029835064127135]
u:GnO;-3.9053661519862484;0.033001254692698004;0.6128944235163154;255;[-3.9053661519862484, 0.033001254692698004, 0.6128944235163154]
u:H16;0.8117846544343291;-0.1354318961186219;-0.5575196794203718;578;[0.8117846544343291, -0.1354318961186219, -0.5575196794203718]
u:H9_;-2.8346590570603936;0.08216581631641746;0.4468409588698533;435;[-2.8346590570603936, 0.08216581631641746, 0.4468409588698533]
u:HHq;-0.5639285987951876;-0.04201285593105203;0.29179860795100027;565;[-0.5639285987951876, -0.04201285593105203, 0.29179860795100027]
u:HN5;-1.0069278843830183;-0.02160160293573997;-0.2375086775424229;542;[-1.0069278843830183, -0.02160160293573997, -0.2375086775424229]
u:HPb;-2.0111544515951905;0.03898303131240341;0.47683946760218643;250;[-2.0111544515951905, 0.03898303131240341, 0.47683946760218643]
u:HQx;0.3999175726149595;-0.05876058685294588;0.000764926946090469;341;[0.3999175726149595, -0.05876058685294588, 0.000764926946090469]
u:HUJ;-0.8865074389446933;-0.022219171801147325;0.2987802919702135;289;[-0.8865074389446933, -0.022219171801147325, 0.2987802919702135]
u:HZw;-6.220743110687817;0.20655359228273412;0.9023271785685967;217;[-6.220743110687817, 0.20655359228273412, 0.9023271785685967]
u:Hbw;-1.44575861897835;0.07373060872930873;-0.4913457541425458;332;[-1.44575861897835, 0.07373060872930873, -0.4913457541425458]
u:Hcn;-0.5899603537831384;-0.1140277493124012;-0.03654837889275939;280;[-0.5899603537831384, -0.1140277493124012, -0.03654837889275939]
u:Hzu;-1.088754842687562;-0.17416963108475392;0.6507285114057573;355;[-1.088754842687562, -0.17416963108475392, 0.6507285114057573]
u:I3M;-1.1952708829710692;0.010443428340860702;0.17821121715655633;417;[-1.1952708829710692, 0.010443428340860702, 0.17821121715655633]
u:IAx;-1.285887225433077;-0.07792506811973995;0.43014371870322077;273;[-1.285887225433077, -0.07792506811973995, 0.43014371870322077]
u:IJH;-0.11848341578535339;6.324510749134218e-05;-0.002151595535973242;699;[-0.11848341578535339, 6.324510749134218e-05, -0.002151595535973242]
u:IP5;0.041655346796051915;-0.02844000933519035;-0.25732138443205976;287;[0.041655346796051915, -0.02844000933519035, -0.25732138443205976]
u:IQx;-3.381547210267101;0.07983927625876652;0.13258869774018048;548;[-3.381547210267101, 0.07983927625876652, 0.13258869774018048]
u:IUZ;1.0476016275149904;-0.10087271036929811;-0.6954260502904991;281;[1.0476016275149904, -0.10087271036929811, -0.6954260502904991]
u:IY_;-8.778408168280208;0.12239852943537465;0.24975894512650987;8418;[-8.778408168280208, 0.12239852943537465, 0.24975894512650987]
u:I_P;0.8850183639260873;-0.0902826101390042;-0.30222991222381534;351;[0.8850183639260873, -0.0902826101390042, -0.30222991222381534]
u:I_f;-1.4094244300744547;0.016255295658939024;0.4701444631154891;301;[-1.4094244300744547, 0.016255295658939024, 0.4701444631154891]
u:Ia_;-1.7028475540724384;0.02734903543935377;0.24715390954373184;234;[-1.7028475540724384, 0.02734903543935377, 0.24715390954373184]
u:Ibw;-7.725426261134989;0.21127703722964233;1.2085825113042556;254;[-7.725426261134989, 0.21127703722964233, 1.2085825113042556]
u:Igl;-1.0752284283495714;-0.027691670607225886;0.10227038857271503;534;[-1.0752284283495714, -0.027691670607225886, 0.10227038857271503]
u:Ij3;-0.5154847127923314;-0.04242317548379855;-0.09801804532862463;1032;[-0.5154847127923314, -0.04242317548379855, -0.09801804532862463]
u:Iov;0.19650520003119176;-0.07367134437187953;0.01650597231801286;350;[0.19650520003119176, -0.07367134437187953, 0.01650597231801286]
u:IrZ;-4.574827147371007;0.04405312673180521;0.09958268474370713;207;[-4.574827147371007, 0.04405312673180521, 0.09958268474370713]
u:It4;-0.4764146885109461;-0.018260313394462206;0.03204550695826305;1509;[-0.4764146885109461, -0.018260313394462206, 0.03204550695826305]
u:IwZ;-3.752097584356787;0.1324750838413917;0.6025963008180322;257;[-3.752097584356787, 0.1324750838413917, 0.6025963008180322]
u:Ixl;0.18929214568031408;0.022039506036773696;-0.8295325568238665;208;[0.18929214568031408, 0.022039506036773696, -0.8295325568238665]
u:JIN;0.43774986829269846;-0.06272038620202601;-0.020380875259891837;337;[0.43774986829269846, -0.06272038620202601, -0.020380875259891837]
u:JIU;0.34274758982968223;-0.1437431957634256;-0.08478270565891734;371;[0.34274758982968223, -0.1437431957634256, -0.08478270565891734]
u:JIg;2.2142808720944993;-0.19729977613687444;-0.3188771227810703;379;[2.2142808720944993, -0.19729977613687444, -0.3188771227810703]
u:JR_;-1.6501811508744066;-0.07860869356209944;0.12331142790632872;976;[-1.6501811508744066, -0.07860869356209944, 0.12331142790632872]
u:JUF;1.4415790098800105;-0.12112037159868233;-0.5486317454009425;214;[1.4415790098800105, -0.12112037159868233, -0.5486317454009425]
u:JZo;-2.28031747230224;0.08157075392587221;0.0556231947896636;2665;[-2.28031747230224, 0.08157075392587221, 0.0556231947896636]
u:JcQ;-0.9905521706830764;-0.0035965089928713164;0.01057624598224241;676;[-0.9905521706830764, -0.0035965089928713164, 0.01057624598224241]
u:Ji-;-1.5825377269351102;-0.005309875970166716;0.767437163704326;231;[-1.5825377269351102, -0.005309875970166716, 0.767437163704326]
